Type	Genus	Tube colour	Botanical name	Common name	States	NW	LE	NU	GT	FR	EA	EP	NL	MU	YP	SL	KI	SE	Height (m)	Spread (m)	Rain (mm)	Soil texture	Soil pH	Frost	Flower colour	Flower (time)	License	Attribution link	Attribution Label
Trees and Shrubs	Thryptomene	G	baeckeacea		W														1	1	500	"Sa,Lo"	AN/C	R	Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Thryptomene	G	calycina	Grampians thryptomene	"V,SA"													I	1-2	1-2	600	"Sa, Lo, Cl"	AN	M	W/Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Thryptomene	G	ericaea		SA							I					I		1	1-2	400	"Sa,Lo,Cl"	AN/C	M	W	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Thryptomene	G	'F. C. Payne'	cultivar of T.saxicola	cultivar														1	1-1.5	400	"Sa, Lo, Cl"	AN/C	M	Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Thryptomene	G	saxicola Dark pink form		W														0.5-1	1-1.5	500	"Lo, Cl"	AN/C	M	Pk	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Verticordia 	G	chrysantha		W														0.6	0.5	450	"Sa, Lo"	AN	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Verticordia 	G	mitchelliana	rapier feather flower	W														0.5	1	500	"Sa,Lo"	AN/C	R	R	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Verticordia 	G	plumosa	plumed feather flower	W														0.5	0.5	550	"Sa, Lo"	AN	S/M	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Viminaria	B	juncea	golden spray	"SA,W,Q,N,V,T"					X			X	V		R	R	V	4-6	2-4	650	"Sa,Lo,Cl"	AN/C	M	Y	"S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	brevifolia var. raleighii		T														1.5-2	1.5-2	500	"Lo, Cl"	ANC	M	B/Mv	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	dampieri	shore westringia	"SA,W"							I					I		1	1	450	"Sa, Lo"	ANC	M	W/Pk	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	eremicola	slender westringia	"SA,Q,N,V"				R	E		R		I	R	R	R	I	1-1.5	1-1.5	250	"Sa,Lo,Cl,Li"	ANC	R	Pu	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	fruticosa	native rosemary	"N,Q"														2-3	2-3	450	"Sa,Lo,Cl,Li"	ANC	M	W/Pu	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	fruticosa Variegated form		cultivar														1-1.5	1-1.5	400	"Sa,Lo,Cl,Li"	ANC	R	W	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	glabra	violet westringia	"Q,N,V"														1-1.5	1-1.5	550	"Lo, Cl"	AN/C	M	B/Pu	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	'Highlight'		cultivar														1.5-2	1.5-2	500	"Sa,Lo,Cl"	ANC	M	Pu	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	'Jervis Gem'	cultivar of W.fruticosa	cultivar														1-1.5	1-1.2	500	"Sa,Lo,Cl"	ANC	M	Pu	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	longifolia		"N,Q"														2	1.5	500	"Sa,Lo,Cl"	AN/C	R	"W,P"	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	'Seafoam White'	cultivar of W.fruticosa	cultivar														1-2	1-2	500	"Sa,Lo,Cl"	ANC	R	W	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	'Smokie'	cultivar of W.fruticosa	cultivar														1-1.2	1-1.2	500	"Sa,Lo,Cl"	ANC	M	W	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	'Wynyabbie Gem'		cultivar														1-2	1-1.5	450	"Sa, Lo, Cl"	ANC	M	Pu	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Westringia 	G	'Zena'	cultivar of W.fruticosa	cultivar														1-1.2	1-1.2	500	"Sa,Lo,Cl"	ANC	M	W	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Acacia	G	maxwellii	prostrate umbrella bush	W														0.2	1-2	350	"Sa,Lo,Cl,Li"	ANC	M	Y	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Ajuga	G	australis	austral bugle	"SA,N,Q,V,T"		I			R	R	V	R	R	V	I	I	I	0.3	0.5-1	400	"Sa,Lo,Cl"	ANC	R	"Pk,Pu"	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Atriplex	B	semibaccata	berry saltbush	"SA,W,Q,N,V,T"		I		T	I	I	T	I	I	T	I	I	I	0.1-0.3	1-3	300	"Sa,Lo,Cl"	ANC	R	I	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Atriplex	B	suberecta	lagoon saltbush	"SA,W,N,V"		I		R	I	I	R	I	I	V	I	I	I	0.1-0.6	1-2	300	"Sa,Lo,Cl"	ANC	R	I	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Banksia	G	blechnifolia		W														0.2-0.5	2-4	400	"Sa,Lo,Cl"	AN/C	M	R/Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Banksia	G	repens	creeping banksia	W														0.3-0.5	2-4	400	"Sa,Lo"	AN	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Brachyscome 	G	'Break O Day'	cut-leaf daisy	cultivar														0.3	0.5-1	400	"Sa, Lo, Cl"	ANC	R	Pu	All year	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Brachyscome 	G	formosa Pilliga form	Pilliga daisy	N														0.1	0.1-0.2	500	"Sa, Lo"	ANC	M	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Brachyscome 	G	multifida White flowered form		cultivar														0.2	0.5-1.5	400	"Sa, Lo, Cl"	ANC	R	W	All year	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Brachyscome 	G	multifida Pink flowered form		cultivar														0.2	0.5-1.5	400	"Sa, Lo, Cl"	ANC	R	Pk	All year	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Brachyscome 	G	multifida var. dilatata	cut-leaf daisy	"N,V,Q"														0.3	0.5-1	400	"Sa, Lo, Cl"	AN/C	R	Pu	All year	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Calytrix	G	tetragona Prostrate form	prostrate fringe myrtle	all states ex NT				R	I		I	I	I	T	I	I	I	0.3	1.5	400	"Sa,Lo,Cl,Li"	ANC	M	"W,Pk"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Carpobrotus	B	rossii	karkalla	"SA,V,T,W"			T	T			I	I		I	I	I	I	0.1	2-3	300	"Sa,Lo,Cl"	ANC	R	Pk	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Chrysocephalum 	G	apiculatum Prostrate form	prostrate everlasting	All states	I	I		I	I	I	I	I	I	I	I	I	I	0.3	0.5-1	450	"Sa, Lo, Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Chrysocephalum 	G	apiculatum Qld form	yellow buttons	Q														0.1-0.3	0.5-1	350	"Sa, Lo, Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Chrysocephalum 	G	baxteri	fringed everlasting	"SA,N,V"							I	R	R	RI	I	E	I	0.2-0.4	0.3-0.6	450	"Sa, Lo, Cl"	ANC	M	W	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Correa	G	'Autumn Blaze'	cultivar of C.pulchella	cultivar														0.3	1.2	500	"Sa,Lo,Cl,Li"	ANC	M	O	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Correa	G	decumbens	spreading correa	SA											R	I		0.3-0.5	2-3	600	"Lo, Cl"	ANC	M	Pk/G	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Correa	G	'Dusky Bells'	cultivar of C.pulchella	cultivar														0.2-1	0.6-3	400	"Sa,Lo,Cl,Li"	ANC	M	Pk	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Correa	G	pulchella Nana Orange form		cultivar														0.2-0.4	0.4	450	"Sa, Lo, Cl"	ANC	M	O	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Correa	G	reflexa var nummulariifolia		V														0.1-0.5	0.6-2	450	"Sa, Lo, Cl"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Correa	G	reflexa var scabridula  Prostrate form		cultivar														0.2	0.3-2	400	"Sa,Lo,Cl"	AN/C	M	R	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Correa	G	'Win's Wonder' 	cultivar of C.pulchella	cultivar														0.5	1-2	500	"Sa,Lo,Cl,Li"	ANC	M	R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Dampiera	G	diversifolia	blue eyes	W														0.1-0.2	0.5-2	400	"Sa, Lo"	AN	M	B	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Dampiera	G	dysantha		"SA,V"					I		V	V	I		I		I	0.5	0.5-2	400	"Sa, Lo"	ANC	M	B	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Dampiera	G	rosmarinifolia Blue flowered form		"SA,V,W"				I	V		I	V	I	I	R		I	0.2-0.5	0.5-1	450	"Sa, Lo, Cl"	ANC	M	B	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Dampiera	G	rosmarinifolia Mauve flowered form		"SA,V,W"				I	V		I	V	I	I	R		I	0.2-0.5	0.5-1	450	"Sa, Lo, Cl"	ANC	M	"Pu,Pk"	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Dampiera	G	trigona	angled dampiera	W														0.2-0.5	0.5-1	500	"Sa, Lo, Cl"	AN	M	"B,Pk"	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Dichondra 	B	repens	kidney weed	All states but NT					R	R	I	R	I	R	I	I	I	0.1	1-2	350	"Sa, Lo,Cl"	ANC	S/M	I	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Disphyma	B	crassifolium ssp clavellatum	round-leaved pig face	all states ex NT	I		I	I	R	I	I	R	I	I	I	I	I	0.1	1-2	300	"Sa,Lo,Cl,Li"	ANC	R	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Einadia	B	nutans 	nodding saltbush	All states	R	I		R	I	I	I	I	I	T	I	I	I	0.5	1	300	"Sa,Lo,Cl,Li"	ANC	R	I	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	'Amber Carpet'	cultivar of E.glabra	cultivar														0.4	1-2	350	"Lo, Cl, Li"	ANC	M	O	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	biserrata	prostrate eremophila	W														0.1	1.5-3	350	"Lo, Cl, Li"	ANC	R	G	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	densifolia	dense-leaved eremophila	W														0.1-0.5	1-2	350	"Lo, Cl, Li"	ANC	M	Pu	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	glabra Prostrate Burgundy flowered form		cultivar														0.5	2	350	"Sa,Lo,Cl,Li"	ANC	M	Bu	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	glabra Prostrate Yellow flowered form		cultivar														0.2	1-2	350	"Sa,Lo,Cl,Li"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	glabra Roseworthy form	common emu bush	SA								I						0.1	1-2	350	"Sa,Lo,Cl,Li"	ANC	M	O	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	'Kalbarri Carpet'	cultivar of E.glabra	cultivar														0.2-0.5	1-2	350	"Sa,Lo,Cl,Li"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	macdonnellii Procumbent form		"SA, NT,Q"		I			I									0.4	1-1.5	250	"Sa,Lo,Cl,Li"	ANC	M	Pu	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	maculata Procumbent Form	spotted emu bush	cultivar														0.5	2	350	"Lo,Cl,Li"	ANC	R	R/Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	'Nullarbor Nymph'	E.decussata x parvifolia	cultivar														0.3	1.2	350	"Sa,Lo"	ANC	R	Pu	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	serpens	creeping eremophila	W														0.1	1-1.5	350	"Sa,Lo,Cl,Li"	ANC	R	G	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Eremophila 	G	subteretifolia		W														0.1-0.3	1-2.5	350	"Sa,Lo,Cl,Li"	ANC	R	O	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Frankenia	B	pauciflora var fruticulosa	southern sea heath	SA		I	I	R			I			I	I	I		0.1	1	250	"Sa, Lo, Li"	ANC	M	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Goodenia	G	albiflora	white goodenia	SA				R	I	R		T		V	I			0.3-0.8	0.3-1	500	"Sa,Lo,Cl"	ANC	M	W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Goodenia	G	blackiana	goodenia	"SA,V"							I	T	I	I	I	I	I	0.1-0.2	0.2-0.5	500	"Sa,Lo,Cl"	ANC	M	Y	"`W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Goodenia	G	ovata Prostrate form	prostrate hop goodenia	cultivar														0.3-0.8	1-3	450	"Sa, Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Goodenia	G	varia	sticky goodenia	"SA,N,V,W"			I	I	R		I	R	I	R	I	I	I	0.1-0.6	0.5-1.5	350	"Sa,Lo,Cl,Li"	ANC	M	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	'Baby'	cultivar of G.thelemanniana	cultivar														0.3-0.5	1-1.5	450	"Sa,Lo,Cl"	ANC	M	R	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	'Bronze Rambler'		cultivar														0.1-0.3	2-5	550	"Sa,Lo,Cl"	AN/C	M	Bu	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	'Carpet Queen'		cultivar														0.5	1	500	"Sa,Lo,Cl"	ANC	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	curviloba 	syn G. biternata	W														0.2-1.5	2-4	500	"Sa, Lo, Cl"	ANC	R	Cr	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	gaudichaudi		N														0.1-0.3	2-3	550	"Sa,Lo,Cl"	AN/C	R	R	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	humifusa 	syn G. thelemanniana grey	W														0.1-0.2	1.5-2	500	"Sa,Lo,Cl,Li"	ANC	M	R	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	ilicifolia var. lobata		SA									T				I	0.2-0.4	2-3	500	"Sa, Lo, Cl"	ANC	M	Bu	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	 'Molonglo'		cultivar														0.5-1	3-5	500	"Sa,Lo,Cl"	ANC	M	Y	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	'Mt. Tamboritha mini'	cultivar of G.lanigera	cultivar														0.1-0.3	1	400	"Sa,Lo,Cl"	ANC	R	"Pk,Cr"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	'Mt. Tamboritha'	cultivar of G.lanigera	cultivar														0.1	1-2	500	"Lo,Cl"	ANC	R	"Pk,R"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	nudiflora Prostrate form		W														0.2	2	500	"Sa,Lo"	ANC	M	R/Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	obtusifolia Prostrate form		W														0.3	2-5	400	"Sa, Lo, Cl"	ANC	M	R	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	pinaster Prostrate form		cultivar														0.1-0.4	1-4	400	"Sa,Lo,Cl,Li"	ANC	M	R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	'Pink Lady'	cultivar of G.juniperina	cultivar														0.3-0.5	1.5-2	500	"Lo,Cl"	ANC	R	Pk	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	'Poorinda Royal Mantle'	cultivar															0. 1	2-5	550	"Sa,Lo,Cl"	AN/C	M	R	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Grevillea	G	synapheae	catkin grevillea	W														0.2	1	600	"Sa, Lo"	AN	R	Cr	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Halgania	G	cyanea	mallee blue flower	All but T	I	I		I	I	I	I	I	I	T	R		I	0.3-0.8	0.5-1.5	350	"Sa,Lo,Li"	ANC	R	B	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Hardenbergia	G	violacea Prostrate Pink form																0.3	1-2	500	"Sa,Lo,Cl"	ANC	M	Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Helichrysum	G	scorpioides	button everlasting	"SA,N,V,T,Q"									T		I		I	0.2-0.5	0.2-0.3	400	"Sa,Lo,Cl"	AN/C	R	Y	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Hemiandra	G	pungens	snakebush	W														0.1	1.5	500	"Sa,Lo,Cl"	ANC	M	Pu	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Hibbertia	G	exutiacies		"SA,V,Q"					I	I		I		I	I	T	I	0.3-0.5	0.5-1	500	"Sa, Lo, Cl"	AN	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Hibbertia	G	obtusifolia	showy guinea flower	"N,Q,V,T"														0.1	0.2-1	500	"Sa, Lo"	AN	M	Y	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Hibbertia	G	platyphylla ssp platyphylla	Marion Bay guinea flower	SA							R			R				0.3-0.5	0.3-0.5	400	"Sa,Lo,Cl,Li"	ANC	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Hibbertia	G	riparia	erect guinea flower	"SA,N,V,T,Q"							I		I		I	I	I	0.1-0.5	0.3-0.8	400	"Sa, Lo, Cl"	AN	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Kennedia	B	prorepens		"SA,W,NT"	I				I									0.2	1-1.5	400	"Sa,Lo"	ANC	R	Pu	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Kennedia	B	prostrata	running postman	"SA,N,V,T"					I	R	T	I	T	T	I	I	I	0.1	1.5-4	450	"Sa,Lo,Cl"	ANC	M	"R,Y"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Kunzea	G	pomifera	muntries	"SA,V"									R	R	I	I	I	0.2	2-4	500	"Sa, Lo, Li"	ANC	M	Cr	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Lechenaultia	G	biloba	blue lechenaultia	W														0.1-0.5	0.5	550	"Sa,Lo"	AN	R	B	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Lechenaultia	G	formosa Orange flowered form		W														0.1-0.5	0.5	550	"Sa, Lo"	AN	R	O	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Lechenaultia	G	formosa Red flowered form		W														0.1-0.5	0.5	550	"Sa, Lo"	AN	R	R	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Leptospermum 	G	'Julie Anne'	cultivar of L.rotundifolium	cultivar														0.2-0.5	1-2	500	"Sa, Lo, Cl"	AN	M	Pk	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Leptospermum 	G	'Pink Cascade'		cultivar														0.8	1.5	500	"Sa,Lo,Cl"	AN	M	Pk	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Melaleuca	G	trichophylla		W														0.3-0.8	0.6-2	350	"Sa,Lo,Cl"	AN/C	M	Pu	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Melaleuca	G	violacea Prostrate form		W														0.2-0.5	1-1.5	500	"Sa,Lo,Cl"	ANC	M	Pu	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Myoporum	B	parvifolium Broad leaf form		"SA,V,N,T"							R		R	R	V	R	R	0.2	2-3	350	"Sa,Lo,Cl,Li"	ANC	M	W	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Myoporum	B	parvifolium Fine leaf form		"SA,V,N,T"							R		R	R	V	R	R	0.3	2-3	350	"Sa,Lo,Cl,Li"	ANC	M	W	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Myoporum	B	parvifolium Pink flowered form		"SA,V,N,T"							R		R	R	V	R	R	0.2	2-3	350	"Sa,Lo,Cl,Li"	ANC	M	Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Myoporum	B	parvifolium Purple leaf form		"SA,V,N,T"							R		R	R	V	R	R	0.2	2-3	350	"Sa,Lo,Cl,Li"	ANC	M	W	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Pelargonium	G	australe Low Form	austral storksbill	"SA,Q,N,V,T,W"							I		R	I	I	I	I	0.3-0.7	0.5-1.5	400	"Sa,Lo,Cl"	AN/C	M	Pk	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Pratia	G	pedunculata	trailing pratia	"SA,V,T"											T		I	0.1	0.4-2	500	"Sa, Lo, Cl"	ANC	M	"B, W"	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Groundcover	Pultenaea	G	pedunculata	matted bush-pea	"SA,V,N,T"							R	V	R		I	I	I	0.1	1-3	500	"Sa,Lo,Cl"	AN/C	M	"O,Y"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
